Município,codmun,UF,idsus_fx,Grupo Homogêneo
Santa Rita do Tocantins,171889,TO,"5 a 5,9",GH5
Santa Rosa do Tocantins,171890,TO,"5 a 5,9",GH6
Santa Tereza do Tocantins,171900,TO,"5 a 5,9",GH6
Santa Terezinha do Tocantins,172000,TO,"6 a 6,9",GH6
São Bento do Tocantins,172010,TO,"5 a 5,9",GH6
São Félix do Tocantins,172015,TO,"5 a 5,9",GH6
São Miguel do Tocantins,172020,TO,"4 a 4,9",GH6
São Salvador do Tocantins,172025,TO,"5 a 5,9",GH5
São Sebastião do Tocantins,172030,TO,"5 a 5,9",GH6
São Valério da Natividade,172049,TO,"5 a 5,9",GH6
Silvanópolis,172065,TO,"6 a 6,9",GH6
Sítio Novo do Tocantins,172080,TO,"5 a 5,9",GH6
Sucupira,172085,TO,"5 a 5,9",GH5
Taguatinga,172090,TO,"5 a 5,9",GH4
Taipas do Tocantins,172093,TO,"5 a 5,9",GH6
Talismã,172097,TO,"5 a 5,9",GH5
Palmas,172100,TO,"6 a 6,9",GH2
Tocantínia,172110,TO,"5 a 5,9",GH6
Tocantinópolis,172120,TO,"6 a 6,9",GH4
Tupirama,172125,TO,"5 a 5,9",GH5
Tupiratins,172130,TO,"5 a 5,9",GH5
Wanderlândia,172208,TO,"4 a 4,9",GH6
Xambioá,172210,TO,"5 a 5,9",GH6
Açailândia,210005,MA,"4 a 4,9",GH4
Afonso Cunha,210010,MA,"5 a 5,9",GH6
Água Doce do Maranhão,210015,MA,"4 a 4,9",GH6
Alcântara,210020,MA,"5 a 5,9",GH6
Aldeias Altas,210030,MA,"4 a 4,9",GH6
Altamira do Maranhão,210040,MA,"4 a 4,9",GH6
Alto Alegre do Maranhão,210043,MA,"4 a 4,9",GH6
Alto Alegre do Pindaré,210047,MA,"5 a 5,9",GH4
Alto Parnaíba,210050,MA,"5 a 5,9",GH6
Amapá do Maranhão,210055,MA,"4 a 4,9",GH6
Amarante do Maranhão,210060,MA,"4 a 4,9",GH4
Anajatuba,210070,MA,"5 a 5,9",GH4
Anapurus,210080,MA,"4 a 4,9",GH6
Apicum-Açu,210083,MA,"4 a 4,9",GH6
Araguanã,210087,MA,"4 a 4,9",GH6
Araioses,210090,MA,"4 a 4,9",GH4
